"station id","time","type","station name","station latitude","station longitude","bike_id","current bike count","initial bike count"
"3639","2019-09-01 02:23:33.6410","1","Harborside","40.7192517","-74.034234","29628","18","14"
"3185","2019-09-01 02:24:01.3540","0","City Hall","40.7177325","-74.043845","29622","8","11"
"3199","2019-09-01 02:26:41.7240","0","Newport Pkwy","40.7287448","-74.0321082","29641","10","13"
"3276","2019-09-01 02:29:59.6190","1","Marin Light Rail","40.7145840353589","-74.042817056179","29622","29","33"
"3275","2019-09-01 02:37:37.7950","0","Columbus Drive","40.7183551982321","-74.0389144420624","29548","9","10"
"3205","2019-09-01 02:38:46.6210","1","JC Medical Center","40.7165397809919","-74.0496379137039","29641","16","15"
"3202","2019-09-01 02:42:53.0140","0","Newport PATH","40.7272235","-74.0337589","29570","21","26"
"3202","2019-09-01 02:43:25.8040","1","Newport PATH","40.7272235","-74.0337589","29548","22","26"
"3203","2019-09-01 02:45:17.0020","0","Hamilton Park","40.727595966","-74.044247311","26297","80","81"
"3199","2019-09-01 02:46:34.1800","1","Newport Pkwy","40.7287448","-74.0321082","29570","11","13"
"3205","2019-09-01 02:51:07.3630","0","JC Medical Center","40.7165397809919","-74.0496379137039","26180","15","15"
"3640","2019-09-01 02:51:12.7230","0","Journal Square","40.73367","-74.0625","29656","7","10"
"3481","2019-09-01 02:55:10.1760","1","York St","40.71649","-74.04105","26180","12","12"
"3268","2019-09-01 02:55:46.0340","0","Lafayette Park","40.713463826692","-74.0628585219383","26192","16","17"
"3203","2019-09-01 02:55:46.9670","1","Hamilton Park","40.727595966","-74.044247311","26297","81","81"
"3281","2019-09-01 02:57:26.1770","1","Leonard Gordon Park","40.7459099663156","-74.0572714805603","29656","12","11"
"3640","2019-09-01 03:04:10.2680","0","Journal Square","40.73367","-74.0625","29220","6","10"
"3273","2019-09-01 03:06:52.5200","1","Manila & 1st","40.72165072488","-74.0428841114044","29526","14","14"
"3281","2019-09-01 03:10:40.1450","1","Leonard Gordon Park","40.7459099663156","-74.0572714805603","29220","13","11"
"3185","2019-09-01 03:10:44.3040","0","City Hall","40.7177325","-74.043845","29584","7","11"
"3220","2019-09-01 03:17:51.1480","0","5 Corners Library","40.7349610200095","-74.0595030784607","29569","14","15"
"3207","2019-09-01 03:21:05.1410","1","Oakland Ave","40.7376037","-74.0524783","29569","25","24"
"3694","2019-09-01 03:27:28.8460","1","Jackson Square","40.71113","-74.0789","29584","11","10"
"3185","2019-09-01 03:41:27.8760","0","City Hall","40.7177325","-74.043845","29679","6","11"
"3273","2019-09-01 03:41:44.3160","0","Manila & 1st","40.72165072488","-74.0428841114044","26311","13","14"
"3213","2019-09-01 03:43:44.5700","1","Van Vorst Park","40.71848892","-74.047726625","29679","24","23"
"3270","2019-09-01 03:44:15.3090","1","Jersey & 6th St","40.7252891078113","-74.0455716848373","26311","37","36"
"3194","2019-09-01 04:00:04.7280","0","McGinley Square","40.7253399253558","-74.0676221251488","26271","26","28"
